State;2022r;2023r;gdp_2023_q4
New England ;1324161;1410687;1440641
Connecticut;321686;345912;355246
Maine ;86493;93270;95468
Massachusetts ;695612;736296;749677
New Hampshire ;106488;114101;116529
Rhode Island ;72869;77574;79122
Vermont ;41012;43534;44598
Delaware ;92558;98069;100184
District of Columbia ;165768;176502;180537
Maryland ;484908;515607;525753
New Jersey;758289;806665;822849
New York;2052759;2172010;2207141
Pennsylvania ;919741;976361;996679
Illinois ;1040353;1098346;1114360
Indiana;473493;499503;509281
Michigan ;627009;673818;685029
Ohio ;832661;884834;902846
Wisconsin ;400621;428447;439700
Iowa ;242753;254032;259429
Kansas;212612;228232;232076
Minnesota ;454993;483162;492823
Missouri ;400265;430114;438684
Nebraska;167480;181285;183226
North Dakota ;73780;76043;77240
South Dakota ;69069;74034;74648
Alabama ;284949;304936;311484
Arkansas;168606;178606;181277
Florida ;1465281;1600811;1642249
Georgia ;779684;831828;850703
Kentucky;261541;279707;284266
Louisiana ;298424;314989;322485
Mississippi ;142762;151147;153249
North Carolina ;728499;788103;808790
South Carolina ;301945;327420;336291
Tennessee ;488670;523032;534199
Virginia ;666682;719897;739546
West Virginia ;98290;102152;105001
Arizona ;484052;522767;534000
New Mexico;128139;135010;138457
Oklahoma;245976;256689;261956
Texas;2436925;2583866;2647608
Colorado ;494673;529627;540997
Idaho ;112290;120958;123886
Montana ;68702;73255;74510
Utah ;261081;281329;287980
Wyoming ;49783;51991;53148
Alaska ;66272;68056;69440
California ;3660416;3870379;3936165
Hawaii ;103153;110265;112302
Nevada;227321;245979;252842
Oregon ;298848;318884;323805
Washington;742909;807865;831911